Transaction Date,Vendor,Type,Amount,Category
19/Nov/2021,"Jaskolski, Dickens and Ledner",direct debit,£16.06,Jewelry
19/Jun/2022,"Weber, Bruen and Hansen",card,£24.05,Industrial
10/Oct/2023,"Grady, Abbott and Keeling",card,£41.12,Tools
21/Jun/2020,Krajcik-Stracke,internet,£38.98,Home
09/Jul/2023,Johnson-Luettgen,direct debit,£3.59,Health
28/Jun/2022,O'Reilly Inc,card,£20.62,Toys
16/Dec/2020,Frami and Sons,card,£12.31,Tools
26/Oct/2024,Moen-Hermiston,card,£39.92,Industrial
06/Feb/2020,Cormier-Schaden,internet,£6.58,Games
30/Jun/2021,"Kovacek, Brown and Lueilwitz",internet,£13.61,Shoes
22/Dec/2021,"Lockman, Heidenreich and Howell",internet,£31.61,Tools
23/Feb/2021,Okuneva LLC,card,£19.23,Kids
22/May/2020,Lowe-Corkery,card,£36.62,Movies
07/Nov/2024,Gusikowski-Farrell,card,£22.61,Sports
12/Mar/2020,Torp-Price,internet,£48.30,Grocery
29/Jan/2023,Miller Inc,internet,£10.16,Automotive
08/Jan/2022,Pagac and Sons,direct debit,£34.71,Automotive
11/Mar/2020,"Hammes, Grimes and Mills",direct debit,£45.77,Industrial
21/Aug/2024,Hilpert and Sons,internet,£23.27,Grocery
18/Jun/2024,Leffler and Sons,card,£41.27,Computers
18/Jul/2023,"Balistreri, Dickinson and Orn",direct debit,£4.52,Home
24/May/2023,"Huel, Kautzer and Hermiston",card,£27.79,Kids
24/Jan/2020,"Kohler, Kling and Herzog",direct debit,£13.61,Beauty
27/Jul/2021,"Ritchie, Crona and Hane",internet,£26.47,Kids
09/Jan/2021,Bechtelar-Kuhn,card,£44.14,Baby
16/Aug/2024,"Bailey, Keebler and Volkman",card,£39.71,Shoes
15/May/2020,Watsica Group,card,£17.27,Music
21/May/2024,"Okuneva, Bins and Bartoletti",direct debit,£12.97,Clothing
12/Nov/2024,"Shields, Hirthe and Schuppe",card,£1.69,Sports
02/Nov/2021,"Rodriguez, Fritsch and Wuckert",direct debit,£6.56,Health
02/Aug/2020,"Gottlieb, Kihn and Torp",internet,£19.29,Kids
20/Aug/2021,"Reilly, Wilderman and O'Kon",card,£15.91,Movies
15/Mar/2023,"Corkery, Parker and Kreiger",card,£29.45,Games
05/Dec/2022,Hammes Group,internet,£49.38,Tools
25/Apr/2020,Hodkiewicz and Sons,card,£38.72,Clothing
29/Jan/2020,Pacocha-Kutch,direct debit,£48.40,Movies
16/Oct/2024,Walsh-Waelchi,internet,£32.63,Clothing
28/Sep/2022,Wolff LLC,direct debit,£13.38,Computers
29/Jun/2021,Wilderman Group,internet,£11.13,Automotive
19/Sep/2023,Douglas Group,card,£13.18,Outdoors
15/Mar/2020,Bergnaum-Mayert,internet,£7.23,Tools
20/Feb/2023,Williamson-Sporer,card,£13.34,Health
25/Aug/2023,Schowalter Inc,card,£34.33,Automotive
12/Jan/2022,"Labadie, Marks and Watsica",internet,£41.56,Home
06/Aug/2022,Erdman Group,direct debit,£41.74,Automotive
23/Apr/2020,Ward-Kshlerin,internet,£14.65,Clothing
25/Apr/2020,Witting-Pagac,card,£11.89,Jewelry
17/Oct/2020,"Schroeder, Rutherford and Rice",internet,£16.39,Garden
14/Nov/2024,"Nolan, Greenholt and Cole",internet,£38.66,Baby
09/Nov/2021,Bergnaum-Cummings,card,£28.29,Garden
